ProjectID,Agency Name,Official Address,Program Area,General Fund,HOPWA,Housing Trust Fund,CDBG,ESG,SOMA,Other,Total
78048-15,Rafiki Coalition for Health and Wellness,1761 Turk Street,Capital Projects,,"32,900.00",,,,,,"32,900.00"
74700-15,Rebuilding Together San Francisco,Pier 28 Suite 1,Community Building and Neighborhood Planning,,,,,,"33,711.83",,"33,711.83"
75073-15,Rebuilding Together San Francisco,Pier 28 Suite 1,Community Building and Neighborhood Planning,,,,,,"50,000.00",,"50,000.00"
73533-15,Rebuilding Together San Francisco,Pier 28 Suite 1,Housing Development Grants,,,,"30,000.00",,,,"30,000.00"
75558-15,Rebuilding Together San Francisco,Pier 28 Suite 1,Housing Development Grants,,,"115,000.00",,,,,"115,000.00"
75075-15,Renaissance Entrepreneurship Center,275 Fifth Street,Public Services - Neighborhood and Business Coordination,,,,,,"75,000.00",,"75,000.00"
75076-15,Renaissance Entrepreneurship Center,275 5th St,Public Services - Neighborhood and Business Coordination,,,,,,"75,000.00",,"75,000.00"
75074-15,Renaissance Entrepreneurship Center,275 5th Street,Organizational Capacity Building,,,,,,"50,000.00",,"50,000.00"
77860-15,Renaissance Entrepreneurship Center,275 Fifth Street,Capital Projects,,,,"140,000.00",,,,"140,000.00"
77861-15,Richmond District Neighborhood Center,741 30th Avenue,Capital Projects,,,,"103,522.00",,,,"103,522.00"
73614-15,Richmond District Neighborhood Center,741 30th Ave,Organizational Capacity Building,,,,"38,000.00",,,,"38,000.00"
73536-15,San Francisco AIDS Foundation,1 South Van Ness Ave.,Public Services - Access to Housing,,"35,000.00",,"71,334.00",,,,"106,334.00"
82710-15,San Francisco Beautiful,Fillmore and Geary,Community Building and Neighborhood Planning,,,"14,393.15",,,,,"14,393.15"
78703-15,San Francisco Community Empowerment Center,2798 San Bruno avenue,Public Services - Service Connection,"50,000.00",,,,,,,"50,000.00"
75045-15,San Francisco Community Empowerment Center,2798 San Bruno avenue,Organizational Capacity Building,"35,000.00",,,,,,,"35,000.00"
73606-15,San Francisco Community Land Trust,21 Columbus Ave #231,Public Services - Sustainable Homeownership,,,,"36,000.00",,,,"36,000.00"
73752-15,San Francisco Community Land Trust,21 Columbus Ave #231,Public Services - Sustainable Homeownership,,,"25,000.00",,,,,"25,000.00"
73538-15,San Francisco Conservation Corps,"5 Thomas Mellon Circle, Suite 248",Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
73539-15,San Francisco Housing Development Corporation,4439 Third Street,Public Services - Access to Housing,,,"150,000.00",,,,,"150,000.00"
73642-15,San Francisco Housing Development Corporation,4439 Third Street,Public Services - Sustainable Homeownership,,,,"50,000.00",,,,"50,000.00"
73649-15,San Francisco Housing Development Corporation,4439 Third Street,Public Services - Financial Education,,,,"50,000.00",,,,"50,000.00"
73687-15,San Francisco Housing Development Corporation,4439 Third Street,Public Services - Access to Housing,,,"50,000.00",,,,,"50,000.00"
73732-15,San Francisco Housing Development Corporation,4439 Third Street,Public Services - Access to Housing,,,"150,000.00",,,,,"150,000.00"
78696-15,San Francisco Housing Development Corporation,4439 Third Street,Public Services - Access to Housing,"150,000.00",,"150,000.00",,,,,"300,000.00"
73650-15,San Francisco Housing Development Corporation,4439 Third Street,Capital Projects,,,,"87,000.00",,,,"87,000.00"
73541-15,San Francisco Parks Alliance,1663 Mission St. Suite 320,Community Building and Neighborhood Planning,"168,587.00",,,,,,,"168,587.00"
82359-15,San Francisco Parks Alliance,2 Burrows Street,Community Building and Neighborhood Planning,"50,000.00",,,,,,,"50,000.00"
86891-15,San Francisco Parks Alliance,45 29th St.,Community Building and Neighborhood Planning,,,"20,000.00",,,,,"20,000.00"
74638-15,San Francisco Sheriff's Department 5 Keys Charter School,70 Oak Grove,Public Services - Foundational Competencies,"85,859.00",,,,,,,"85,859.00"
73542-15,San Francisco Study Center - Housing Rights Committee of San Francisco,417 South Van Ness Avenue,Public Services - Eviction Prevention,"82,000.00",,,,,,,"82,000.00"
73596-15,San Francisco Study Center - Housing Rights Committee of San Francisco,417 South Van Ness,Public Services - Eviction Prevention,,,"25,000.00","60,000.00",,,,"85,000.00"
73629-15,San Francisco Study Center - Housing Rights Committee of San Francisco,417 South Van Ness,Public Services - Eviction Prevention,,,"50,000.00",,,,,"50,000.00"
73630-15,San Francisco Study Center - Housing Rights Committee of San Francisco,1663 Mission Street,Public Services - Eviction Prevention,,,"50,000.00",,,,,"50,000.00"
74703-15,San Francisco Study Center - Housing Rights Committee of San Francisco,417 South Van Ness,Public Services - Eviction Prevention,"85,752.00",,"80,033.11",,,,,"165,785.11"
78674-15,San Francisco Study Center - Housing Rights Committee of San Francisco,"1663 Mission St., Ste. 504",Community Building and Neighborhood Planning,"175,000.00",,,,,,,"175,000.00"
73543-15,Self-Help for the Elderly,"601 Jackson Street, Basement",Public Services - Access to Housing,,,"15,000.00","25,000.00",,,,"40,000.00"
73676-15,Self-Help for the Elderly,"601 Jackson Street, Basement",Public Services - Eviction Prevention,,,"15,000.00","25,000.00",,,,"40,000.00"
74715-15,SF CLOUT,1188 Franklin Street,Public Services - Legal Services,,,,"165,000.00",,,,"165,000.00"
73643-15,SF LGBT Community Center,1800 Market St.,Public Services - Sustainable Homeownership,,,,"50,000.00",,,,"50,000.00"
74627-15,SF LGBT Community Center,1800 Market St,Public Services - Access to Housing,"112,750.00",,,,,,,"112,750.00"
78677-15,SF LGBT Community Center,1800 Market Street,Community Building and Neighborhood Planning,"25,200.00",,,,,,,"25,200.00"
73636-15,SF LGBT Community Center,1800 Market Street,Capital Projects,"680,814.00",,,,,,"756,461.00","1,437,275.00"
78218-15,SF LGBT Community Center,1800 Market Street,Capital Projects,"219,716.32",,,,,,,"219,716.32"
73724-15,Southeast Asian Community Center,875 O'Farrell Street,Public Services - Foundational Competencies,"119,141.00",,,,,,,"119,141.00"
73547-15,Sunset District Comm. Develop. Corp. dba Sunset Youth Services,3918 Lawton St.,Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
73548-15,Swords to Plowshares Veterans Rights Organization,1060 Howard St.,Public Services - Legal Services,,,,"81,111.00",,,,"81,111.00"
76990-15,Telegraph Hill Neighborhood Association,660 Lombard Street,Capital Projects,,,,"85,800.00",,,,"85,800.00"
73549-15,"Tenderloin Housing Clinic, Inc.",48 Turk Street,Public Services - Service Connection,"224,073.00",,,,,,,"224,073.00"
73644-15,"Tenderloin Housing Clinic, Inc.","126 Hyde Street, 2nd Floor",Public Services - Eviction Prevention,,,"45,000.00","42,500.00",,,,"87,500.00"
75733-15,"Tenderloin Housing Clinic, Inc.",126 Hyde Street,Public Services - Eviction Prevention,"744,947.00",,,,,,,"744,947.00"
73550-15,Tenderloin Neighborhood Development Corporation,215 Taylor Street,Housing Development Grants,,,,"123,270.00",,,,"123,270.00"
73672-15,Tenderloin Neighborhood Development Corporation,215 Taylor Street,Housing Development Grants,,,,"3,820.00",,,,"3,820.00"
73551-15,The Arc San Francisco,1500 Howard Street,Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
78699-15,Tides Center / PODER,1014 Torney Avenue,Community Building and Neighborhood Planning,"100,000.00",,,,,,,"100,000.00"
78675-15,Tides Center / PODER,474 Valencia St.,Community Building and Neighborhood Planning,"75,000.00",,,,,,,"75,000.00"
74639-15,Tides Center / PODER,1014 Torney Ave,Community Building and Neighborhood Planning,"76,875.00",,,,,,,"76,875.00"
73570-15,Tides Center / PODER,1014 Torney Ave,Community Building and Neighborhood Planning,"61,760.78",,,,,,,"61,760.78"
73554-15,United Playaz,1038 Howard Street,Public Services - Service Connection,,,,"55,000.00",,,,"55,000.00"
75077-15,United Playaz,1038 Howard Street,Community Building and Neighborhood Planning,,,,,,"50,000.00",,"50,000.00"
73671-15,United Playaz,1038 Howard Street,Organizational Capacity Building,"20,898.00",,,,,,,"20,898.00"
74622-15,United Playaz,1038 Howard Street,Organizational Capacity Building,"20,300.00",,,,,,,"20,300.00"
76992-15,"Uptown Tenderloin, Inc.",398 Eddy Street,Capital Projects,,,,,,,"402,605.95","402,605.95"
73556-15,Urban Services YMCA,"1426 Fillmore St, Suite 204",Public Services - Service Connection,"48,015.92",,,,,,,"48,015.92"
73616-15,Urban Services YMCA,"241 Oneida Avenue, Room 181",Public Services - Foundational Competencies,,,,"55,000.00",,,,"55,000.00"
73617-15,Urban Services YMCA,"1426 Fillmore St, Suite 204",Public Services - Service Connection,"210,244.00",,,,,,,"210,244.00"
73618-15,Urban Services YMCA,"1426 Fillmore St., Suite 204",Public Services - Housing Place-Based Services,"120,932.00",,,,,,,"120,932.00"
74640-15,Urban Services YMCA,"1426 Fillmore St, Suite 204",Public Services - Service Connection,"128,125.00",,,,,,,"128,125.00"
75078-15,Urban Solutions,"1167 Mission Street, 2nd floor",Public Services - Neighborhood and Business Coordination,,,,,,"80,000.00",,"80,000.00"
73557-15,Veterans Equity Center,1010 Mission Street,Public Services - Access to Housing,,,"16,048.12",,,,,"16,048.12"
73599-15,Veterans Equity Center,1010 Mission Street,Public Services - Access to Housing,,,"60,000.00",,,,,"60,000.00"
73725-15,Veterans Equity Center,1010 Mission Street,Public Services - Access to Housing,,,"50,000.00",,,,,"50,000.00"
74704-15,Veterans Equity Center,1010 Mission Street,Public Services - Access to Housing,"33,070.10",,,,,,,"33,070.10"
74705-15,Veterans Equity Center,1010 Mission Street,Public Services - Access to Housing,,,,,,"62,090.25",,"62,090.25"
75056-15,Veterans Equity Center,1010 Mission Street,Public Services - Access to Housing,,,,,,"80,000.00",,"80,000.00"
77867-15,Veterans Equity Center,1010 Mission Street,Public Services - Access to Housing,"60,000.00",,,,,,,"60,000.00"
73682-15,Vietnamese Youth Development Center,166 Eddy Street,Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
78679-15,Vietnamese Youth Development Center,166 Eddy Street,Public Services - Foundational Competencies,"200,000.00",,,,,,,"200,000.00"
78504-15,West Bay Pilipino Multi Service Corporation,175 7th Street,Public Services - Foundational Competencies,,,,,,"88,333.04",,"88,333.04"
73576-15,West Bay Pilipino Multi Service Corporation,175 7th Street,Organizational Capacity Building,"20,500.00",,,,,,,"20,500.00"
75079-15,West Bay Pilipino Multi Service Corporation,175 7th Street,Organizational Capacity Building,,,,,,"5,000.00",,"5,000.00"
73559-15,Wu Yee Children's Services,827 Broadway,Public Services - Service Connection,"13,344.67",,,,,,,"13,344.67"
74628-15,Wu Yee Children's Services,827 Broadway,Public Services - Service Connection,"107,625.00",,,,,,,"107,625.00"
78037-15,Wu Yee Children's Services,700 Velasco,Capital Projects,,,,"45,000.00",,,,"45,000.00"
73593-15,Wu Yee Children's Services,827 Broadway,Capital Projects,,,,"64,473.00",,,,"64,473.00"
73560-15,YMCA of San Francisco (Bayview),1600 Lane Street,Public Services - Housing Place-Based Services,"668,387.00",,,,,,,"668,387.00"
73653-15,YMCA of San Francisco (Bayview),1601 Lane Street,Public Services - Foundational Competencies,,,,"55,000.00",,,,"55,000.00"
73675-15,YMCA of San Francisco (Bayview),1065 Oakdale,Public Services - Homeless Services,,,,"50,000.00",,,,"50,000.00"
73552-15,YMCA of San Francisco (Bayview)/Together United Recommitted Forever (T.U.R.F.),1652 Sunnydale Ave,Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
73673-15,YMCA of San Francisco (Bayview)/Together United Recommitted Forever (T.U.R.F.),1652 Sunnydale Ave,Public Services - Housing Place-Based Services,"50,000.00",,,,,,,"50,000.00"
73561-15,YMCA of San Francisco (Chinatown Branch),855 Sacramento St.,Public Services - Service Connection,"38,433.00",,,,,,,"38,433.00"
77864-15,YMCA of San Francisco (Chinatown Branch),855 Sacramento Street,Public Services - Foundational Competencies,"40,000.00",,,,,,,"40,000.00"
